,Country_Region,Confirmed,Deaths
0,Afghanistan,209451,7896
1,Albania,334457,3598
2,Algeria,271496,6881
3,Andorra,47890,165
4,Angola,105288,1933
5,Antarctica,11,0
6,Antigua and Barbuda,9106,146
7,Argentina,10044957,130472
8,Armenia,447308,8727
9,Australia,232974,228
10,Australia,3915992,6529
11,Australia,105111,91
12,Australia,1800236,2783
13,Australia,883620,1365
14,Australia,287507,256
15,Australia,2880559,7370
16,Australia,1293461,952
17,Austria,5961143,21970
18,Azerbaijan,828825,10138
19,Bahamas,37491,833
20,Bahrain,710693,1553
21,Bangladesh,2037871,29445
22,Barbados,106798,579
23,Belarus,994037,7118
24,Belgium,766206,0
25,Belgium,505467,0
26,Belgium,645338,0
27,Belgium,464722,0
28,Belgium,519111,0
29,Belgium,419029,0
30,Belgium,351474,0
31,Belgium,122942,0
32,Belgium,202905,0
33,Belgium,63364,33814
34,Belgium,173827,0
35,Belgium,504980,0
36,Belize,70757,688
37,Benin,27999,163
38,Bhutan,62627,21
39,Bolivia,1194277,22365
40,Bosnia and Herzegovina,401729,16280
41,Botswana,329758,2801
42,Brazil,160433,2043
43,Brazil,337535,7242
44,Brazil,185668,2167
45,Brazil,631976,14443
46,Brazil,1792572,31459
47,Brazil,1453572,28157
48,Brazil,897897,11844
49,Brazil,1323318,15041
50,Brazil,1898605,28036
51,Brazil,493391,11053
52,Brazil,878360,15087
53,Brazil,607356,11010
54,Brazil,4189760,65507
55,Brazil,871612,19021
56,Brazil,707743,10542
57,Brazil,2918459,46018
58,Brazil,1156640,22686
59,Brazil,424866,8354
60,Brazil,585935,8715
61,Brazil,2961756,41919
62,Brazil,2752662,76844
63,Brazil,482910,7432
64,Brazil,182485,2180
65,Brazil,1985888,22703
66,Brazil,6469442,179039
67,Brazil,359674,6502
68,Brazil,365538,4232
69,Brunei,279661,225
70,Bulgaria,1297523,38228
71,Burkina Faso,22056,396
72,Burma,633950,19490
73,Burundi,53631,38
74,Cabo Verde,63244,413
75,Cambodia,138719,3056
76,Cameroon,124392,1965
77,Canada,629269,5622
78,Canada,396817,5249
79,Canada,0,1
80,Canada,13,0
81,Canada,154712,2464
82,Canada,88866,834
83,Canada,54757,318
84,Canada,11511,22
85,Canada,140793,794
86,Canada,3531,7
87,Canada,1601325,16234
88,Canada,56523,93
89,Canada,1320325,18160
90,Canada,13,0
91,Canada,153651,1890
92,Canada,4989,32
93,Central African Republic,15368,113
94,Chad,7679,194
95,Chile,183811,1961
96,Chile,293632,2922
97,Chile,79718,900
98,Chile,116955,718
99,Chile,36352,222
100,Chile,510730,4824
101,Chile,211158,1951
102,Chile,243060,2577
103,Chile,148252,1411
104,Chile,67653,774
105,Chile,346804,3354
106,Chile,1967389,30869
107,Chile,158355,1333
108,Chile,221916,2821
109,Chile,113542,1173
110,Chile,42,2
111,Chile,492917,6461
112,China,2275,7
113,China,40774,20
114,China,14715,11
115,China,17122,2
116,China,1742,2
117,China,103248,10
118,China,13371,2
119,China,2534,2
120,China,10483,6
121,China,3292,7
122,China,6603,18
123,China,9948,23
124,China,2876106,13467
125,China,72131,4515
126,China,7437,4
127,China,8847,1
128,China,5075,0
129,China,3423,2
130,China,40764,5
131,China,3547,2
132,China,3514,121
133,China,1276,0
134,China,782,0
135,China,7326,5
136,China,5880,10
137,China,67040,595
138,China,7167,1
139,China,14567,12
140,China,4392,3
141,China,1647,0
142,China,1521816,82195
143,China,3089,3
144,China,9743,4
145,China,11848,1
146,Colombia,7851,265
147,Colombia,950809,18617
148,Colombia,17130,569
149,Colombia,417897,10230
150,Colombia,203497,3276
151,Colombia,130254,2903
152,Colombia,119792,2580
153,Colombia,1874877,30051
154,Colombia,25704,1041
155,Colombia,43079,1029
156,Colombia,76788,1854
157,Colombia,109404,2694
158,Colombia,18891,430
159,Colombia,122594,3961
160,Colombia,330221,7398
161,Colombia,2795,37
162,Colombia,5683,105
163,Colombia,103346,3593
164,Colombia,58097,1548
165,Colombia,117751,3655
166,Colombia,107879,2609
167,Colombia,108552,3418
168,Colombia,125260,5192
169,Colombia,21998,791
170,Colombia,73182,2086
171,Colombia,110026,2514
172,Colombia,10375,157
173,Colombia,295934,8382
174,Colombia,67157,1747
175,Colombia,127417,4092
176,Colombia,0,0
177,Colombia,569412,15428
178,Colombia,1964,22
179,Colombia,3477,65
180,Comoros,9008,161
181,Congo (Brazzaville),25087,388
182,Congo (Kinshasa),95749,1464
183,Costa Rica,1209725,9245
184,Cote d'Ivoire,88263,834
185,Croatia,1269326,17987
186,Cuba,1112643,8530
187,Cyprus,650685,1330
188,Czechia,4618256,42491
189,Denmark,34658,28
190,Denmark,11971,21
191,Denmark,3404407,8296
192,Diamond Princess,712,13
193,Djibouti,15690,189
194,Dominica,15760,74
